startdate_extracted,startdate_standard,year,month,season,mean_ci,median_ci,std_ci,min_ci,max_ci,mean_dn,median_dn,std_dn,min_dn,max_dn
2008013,2008-01-13,2008,1,1,0.000189344805815232,0.00012417935507239513,0.00013340014134092574,6.860273023526938e-05,0.0003752523321380315,30.333333333333332,24.0,26.106618998935033,2,65
2008020,2008-01-20,2008,1,1,0.00016622037335487375,0.0001145685347138735,0.00011634074052209194,7.047829676137728e-05,0.00036526612723037066,27.25,21.0,22.465250944514285,3,64
2008027,2008-01-27,2008,1,1,0.00017666788997161445,0.00021879802626908177,5.192945585188145e-05,8.512426989050051e-05,0.00021879802626908177,35.07692307692308,45.0,12.833019540721677,10,45
2008055,2008-02-24,2008,2,1,0.00023092523805587757,0.00023092523805587757,0.0,0.00023092523805587757,0.00023092523805587757,47.0,47.0,0.0,47,47
2008090,2008-03-30,2008,3,2,0.0005714249804550927,0.0005623845744677356,0.00047424692430217473,0.00010851240774472338,0.001445517653848912,63.55555555555556,80.0,38.14041633260827,19,115
2008104,2008-04-13,2008,4,2,0.0003279090477509843,0.0003279090477509843,0.0,0.0003279090477509843,0.0003279090477509843,60.0,60.0,0.0,60,60
2008118,2008-04-27,2008,4,2,0.0015843453056384154,0.0017936404932533908,0.0007039060543556552,0.0003279090477509843,0.0022864483748491924,112.0,123.0,25.317977802344327,60,132
2008125,2008-05-04,2008,5,2,0.0007505793779214546,0.00038551155521251214,0.0005952811623879043,0.0001861055822416004,0.0018426777845897708,77.71428571428571,66.0,31.6214858497658,39,124
2008132,2008-05-11,2008,5,2,0.0028979572099749745,0.0031603079234173324,0.0014853510818004507,0.00010007771940692956,0.006037614778168966,131.72118959107806,144.0,32.089911396804474,16,168
2008139,2008-05-18,2008,5,2,0.006710323952623002,0.007491648628402593,0.002551907016668102,0.00014998485238371518,0.012848647071018005,165.49498327759198,176.0,28.863114978647463,31,196
2008146,2008-05-25,2008,5,2,0.008672352792358862,0.009048475191279258,0.0026173940724710043,0.00011452687219239174,0.016378849789041684,178.17090909090908,183.0,19.691588784821892,21,205
2008153,2008-06-01,2008,6,3,0.010148625670191123,0.010928823193440932,0.0025420185283865112,6.860273023526938e-05,0.013931548782293813,184.9541884816754,190.0,16.644394234094914,2,199
2008160,2008-06-08,2008,6,3,0.006722126027244282,0.007906884593269861,0.005502939030107435,6.677707623479695e-05,0.016378849789041684,142.57126632595117,178.0,58.93566356261893,1,205
2008167,2008-06-15,2008,6,3,0.008905821533138047,0.010354887860243467,0.0037705881806460173,7.641830489988815e-05,0.016826639874000782,174.51581027667984,188.0,32.62696009037171,6,206
2008174,2008-06-22,2008,6,3,0.0099704042741671,0.010354887860243467,0.0037256357448294027,8.745152757570437e-05,0.017759281858445344,180.67623762376238,188.0,28.06663093396033,11,208
2008181,2008-06-29,2008,6,3,0.0005675232765130794,0.0003702592296842011,0.0004172728221173505,0.00010851240774472338,0.0016101984342484148,69.91666666666667,64.5,29.173213550942393,19,119
2008188,2008-07-06,2008,7,3,0.010560629533661133,0.013931548782293813,0.00664827006571001,6.860273023526938e-05,0.01874361693655935,166.81837916063677,199.0,55.06724880417196,2,210
2008195,2008-07-13,2008,7,3,0.012613558819399767,0.013931548782293813,0.005698566451009348,6.677707623479695e-05,0.021449807549949466,182.512641673932,199.0,45.827474567037186,1,215
2008202,2008-07-20,2008,7,3,0.010275081465196177,0.011227612102877545,0.004202927027801719,7.641830489988815e-05,0.020878985851911634,180.8911739502999,191.0,29.44809645504752,6,214
2008209,2008-07-27,2008,7,3,0.010866916469697629,0.012173890749379723,0.004693021489021504,8.984241139644306e-05,0.01824481230988928,182.29430894308942,194.0,30.53785416032964,12,209
2008216,2008-08-03,2008,8,3,0.009918664948495247,0.010637985646376327,0.005066451484348557,7.438466303794841e-05,0.017759281858445344,175.15948670944087,189.0,38.37124182492116,5,208
2008223,2008-08-10,2008,8,3,0.005821873570620822,0.004028611610130368,0.005284594552065229,6.677707623479695e-05,0.02325762693933648,140.84254723582924,153.0,53.20354232675498,1,218
2008230,2008-08-17,2008,8,3,0.003618882944157685,0.0021087223447745704,0.0038211306360088275,6.677707623479695e-05,0.017759281858445344,125.49889729048519,129.0,46.794693956974896,1,208
2008237,2008-08-24,2008,8,3,0.004201777688137436,0.0026880998708233637,0.004329621546057796,6.677707623479695e-05,0.02661554723433558,130.67708079082254,138.0,48.40199898042787,1,223
2008244,2008-08-31,2008,8,3,0.009611186163490567,0.007696466794452358,0.00856705948249289,6.677707623479695e-05,0.05513322536354969,160.532623488912,177.0,53.795556033984305,1,250
2008251,2008-09-07,2008,9,4,0.012416861637829915,0.007906884593269861,0.011846240878268698,6.677707623479695e-05,0.05977992970248461,168.9821501344853,178.0,54.20550359518953,1,253
